origin,week,leaving_flights_per_week
ABY,15,38
ABY,16,40
ABY,17,40
ABY,18,40
ABY,19,40
ABY,20,39
ABY,21,38
ABY,22,40
ABY,23,38
ABY,24,40
ABY,25,39
ABY,26,39
ABY,27,36
ABY,28,39
ABY,29,39
ABY,30,40
ABY,31,34
ABY,32,38
ABY,33,40
ABY,34,39
ABY,35,38
ABY,36,30
ABY,37,39
ABY,38,40
ABY,39,40
ABY,40,40
ABY,41,38
ABY,42,40
ABY,43,40
ABY,44,38
ABY,45,40
ABY,46,39
ABY,47,39
ABY,48,38
ABY,49,40
ABY,50,40
ABY,51,38
ABY,52,28
ACK,18,4
ACK,19,4
ACK,20,20
ACK,21,34
ACK,22,42
ACK,23,45
ACK,24,83
ACK,25,136
ACK,26,166
ACK,27,191
ACK,28,179
ACK,29,174
ACK,30,172
ACK,31,183
ACK,32,179
ACK,33,182
ACK,34,184
ACK,35,177
ACK,36,111
ACK,37,59
ACK,38,49
ACK,39,39
ACK,40,36
ACK,41,19
ACK,42,13
ACK,43,2
ACT,1,57
ACT,2,49
ACT,3,47
ACT,4,51
ACT,5,51
ACT,6,51
ACT,7,52
ACT,8,51
ACT,9,52
ACT,10,53
ACT,11,51
ACT,12,54
ACT,13,52
ACT,14,61
ACT,15,65
ACT,16,69
ACT,17,70
ACT,18,63
ACT,19,70
ACT,20,70
ACT,21,71
ACT,22,67
ACT,23,72
ACT,24,70
ACT,25,72
ACT,26,74
ACT,27,61
ACT,28,68
ACT,29,71
ACT,30,74
ACT,31,75
ACT,32,75
ACT,33,72
ACT,34,65
ACT,35,63
ACT,36,62
ACT,37,65
ACT,38,63
ACT,39,64
ACT,40,65
ACT,41,61
ACT,42,65
ACT,43,63
ACT,44,64
ACT,45,66
ACT,46,64
ACT,47,69
ACT,48,69
ACT,49,68
ACT,50,65
ACT,51,56
ACT,52,47
ACV,1,70
ACV,2,48
ACV,3,46
ACV,4,46
ACV,5,41
ACV,6,48
ACV,7,45
ACV,8,49
ACV,9,43
ACV,10,49
ACV,11,46
ACV,12,42
ACV,13,49
ACV,14,45
ACV,15,48
ACV,16,49
ACV,17,49
ACV,18,49
ACV,19,46
ACV,20,46
ACV,21,48
ACV,22,54
ACV,23,67
ACV,24,78
ACV,25,77
ACV,26,75
ACV,27,68
ACV,28,78
ACV,29,74
ACV,30,62
ACV,31,78
ACV,32,83
ACV,33,84
ACV,34,83
ACV,35,85
ACV,36,71
ACV,37,64
ACV,38,69
ACV,39,68
ACV,40,74
ACV,41,77
ACV,42,78
ACV,43,77
ACV,44,83
ACV,45,77
ACV,46,70
ACV,47,76
ACV,48,69
ACV,49,82
ACV,50,79
ACV,51,81
ACV,52,82
ACY,1,143
ACY,2,140
ACY,3,136
ACY,4,136
ACY,5,136
ACY,6,135
ACY,7,136
ACY,8,140
ACY,9,127
ACY,10,140
ACY,11,139
ACY,12,138
ACY,13,140
ACY,14,139
ACY,15,130
ACY,16,120
ACY,17,127
ACY,18,122
ACY,19,115
ACY,20,113
ACY,21,115
ACY,22,116
ACY,23,112
ACY,24,116
ACY,25,112
ACY,26,108
ACY,27,109
ACY,28,108
ACY,29,108
ACY,30,108
ACY,31,109
ACY,32,109
ACY,33,104
ACY,34,108
ACY,35,106
ACY,36,104
ACY,37,104
ACY,38,107
ACY,39,107
ACY,40,107
ACY,41,104
ACY,42,106
ACY,43,107
ACY,44,106
ACY,45,113
ACY,46,128
ACY,47,140
ACY,48,136
ACY,49,131
ACY,50,130
ACY,51,131
ACY,52,137
ADK,1,3
ADK,2,4
ADK,3,4
ADK,4,4
ADK,5,4
ADK,6,4
ADK,7,3
ADK,8,4
ADK,9,2
ADK,10,3
ADK,11,4
ADK,12,4
ADK,13,4
ADK,14,4
ADK,15,4
ADK,16,4
ADK,17,4
ADK,18,4
ADK,19,4
ADK,20,4
ADK,21,4
ADK,22,4
ADK,23,4
ADK,24,4
ADK,25,3
ADK,26,4
ADK,27,4
ADK,28,4
ADK,29,4
ADK,30,4
ADK,31,4
ADK,32,4
ADK,33,4
ADK,34,4
ADK,35,3
ADK,36,4
ADK,37,4
ADK,38,4
ADK,39,4
ADK,40,3
ADK,41,4
ADK,42,4
ADK,43,4
ADK,44,4
ADK,45,4
ADK,46,4
ADK,47,4
ADK,48,4
ADK,49,4
ADK,50,4
ADK,51,3
ADK,52,4
ADQ,1,26
ADQ,2,24
ADQ,3,23
ADQ,4,22
ADQ,5,22
ADQ,6,24
ADQ,7,22
ADQ,8,24
ADQ,9,23
ADQ,10,23
ADQ,11,24
ADQ,12,24
ADQ,13,24
ADQ,14,24
ADQ,15,24
ADQ,16,23
ADQ,17,23
ADQ,18,25
ADQ,19,24
ADQ,20,25
ADQ,21,26
ADQ,22,26
ADQ,23,26
ADQ,24,26
ADQ,25,25
ADQ,26,24
ADQ,27,24
ADQ,28,25
ADQ,29,26
ADQ,30,25
ADQ,31,25
ADQ,32,26
ADQ,33,26
ADQ,34,26
ADQ,35,24
ADQ,36,24
ADQ,37,23
ADQ,38,24
ADQ,39,23
ADQ,40,23
ADQ,41,21
ADQ,42,24
ADQ,43,21
ADQ,44,23
ADQ,45,21
ADQ,46,23
ADQ,47,22
ADQ,48,22
ADQ,49,21
ADQ,50,22
ADQ,51,23
ADQ,52,18
AEX,1,124
AEX,2,115
AEX,3,110
AEX,4,119
AEX,5,117
AEX,6,118
AEX,7,118
AEX,8,126
AEX,9,128
AEX,10,133
AEX,11,131
AEX,12,130
AEX,13,127
AEX,14,127
AEX,15,132
AEX,16,128
AEX,17,133
AEX,18,131
AEX,19,126
AEX,20,128
AEX,21,129
AEX,22,133
AEX,23,126
AEX,24,123
AEX,25,126
AEX,26,125
AEX,27,105
AEX,28,123
AEX,29,127
AEX,30,129
AEX,31,126
AEX,32,127
AEX,33,127
AEX,34,129
AEX,35,118
AEX,36,119
AEX,37,134
AEX,38,128
AEX,39,134
AEX,40,135
AEX,41,132
AEX,42,136
AEX,43,131
AEX,44,119
AEX,45,131
AEX,46,133
AEX,47,122
AEX,48,126
AEX,49,134
AEX,50,133
AEX,51,126
AEX,52,104
AGS,1,202
AGS,2,177
AGS,3,169
AGS,4,178
AGS,5,172
AGS,6,170
AGS,7,179
AGS,8,191
AGS,9,195
AGS,10,208
AGS,11,205
AGS,12,207
AGS,13,209
AGS,14,257
AGS,15,277
AGS,16,209
AGS,17,197
AGS,18,202
AGS,19,202
AGS,20,206
AGS,21,205
AGS,22,207
AGS,23,197
AGS,24,189
AGS,25,191
AGS,26,196
AGS,27,168
AGS,28,199
AGS,29,198
AGS,30,199
AGS,31,197
AGS,32,199
AGS,33,201
AGS,34,200
AGS,35,191
AGS,36,182
AGS,37,185
AGS,38,197
AGS,39,194
AGS,40,196
AGS,41,187
AGS,42,197
AGS,43,191
AGS,44,170
AGS,45,191
AGS,46,195
AGS,47,192
AGS,48,187
AGS,49,181
AGS,50,181
AGS,51,190
AGS,52,177
AKN,22,1
AKN,23,11
AKN,24,13
AKN,25,14
AKN,26,14
AKN,27,14
AKN,28,14
AKN,29,14
AKN,30,14
AKN,31,13
AKN,32,1
ALB,1,663
ALB,2,587
ALB,3,555
ALB,4,581
ALB,5,568
ALB,6,583
ALB,7,586
ALB,8,626
ALB,9,611
ALB,10,648
ALB,11,687
ALB,12,681
ALB,13,712
ALB,14,706
ALB,15,673
ALB,16,675
ALB,17,683
ALB,18,682
ALB,19,687
ALB,20,677
ALB,21,666
ALB,22,668
ALB,23,680
ALB,24,677
ALB,25,669
ALB,26,674
ALB,27,605
ALB,28,671
ALB,29,657
ALB,30,652
ALB,31,663
ALB,32,656
ALB,33,655
ALB,34,650
ALB,35,632
ALB,36,612
ALB,37,630
ALB,38,635
ALB,39,624
ALB,40,660
ALB,41,672
ALB,42,670
ALB,43,667
ALB,44,642
ALB,45,680
ALB,46,658
ALB,47,657
ALB,48,623
ALB,49,608
ALB,50,649
ALB,51,644
ALB,52,619
ALO,1,29
ALO,2,24
ALO,3,23
ALO,4,24
ALO,5,17
ALO,6,18
ALO,7,24
ALO,8,24
ALO,9,26
ALO,10,27
ALO,11,25
ALO,12,27
ALO,13,27
ALO,14,27
ALO,15,26
ALO,16,27
ALO,17,26
ALO,18,26
ALO,19,27
ALO,20,26
ALO,21,27
ALO,22,27
ALO,23,26
ALO,24,26
ALO,25,24
ALO,26,24
ALO,27,23
ALO,28,27
ALO,29,26
ALO,30,27
ALO,31,26
ALO,32,27
ALO,33,25
ALO,34,25
ALO,35,26
ALO,36,25
ALO,37,26
ALO,38,26
ALO,39,24
ALO,40,26
ALO,41,26
ALO,42,26
ALO,43,26
ALO,44,26
ALO,45,25
ALO,46,24
ALO,47,26
ALO,48,23
ALO,49,26
ALO,50,26
ALO,51,27
ALO,52,27
ALW,1,45
ALW,2,26
ALW,3,33
ALW,4,32
ALW,5,29
ALW,6,31
ALW,7,27
ALW,8,32
ALW,9,31
ALW,10,30
ALW,11,36
ALW,12,35
ALW,13,36
ALW,14,35
ALW,15,35
ALW,16,35
ALW,17,36
ALW,18,36
ALW,19,36
ALW,20,36
ALW,21,36
ALW,22,35
ALW,23,36
ALW,24,36
ALW,25,35
ALW,26,36
ALW,27,35
ALW,28,36
ALW,29,36
ALW,30,36
ALW,31,34
ALW,32,35
ALW,33,35
ALW,34,35
ALW,35,31
ALW,36,32
ALW,37,32
ALW,38,32
ALW,39,31
ALW,40,32
ALW,41,32
ALW,42,32
ALW,43,31
ALW,44,32
ALW,45,36
ALW,46,32
ALW,47,25
ALW,48,34
ALW,49,31
ALW,50,35
ALW,51,36
ALW,52,36
AMA,1,237
AMA,2,205
AMA,3,200
AMA,4,208
AMA,5,206
AMA,6,205
AMA,7,205
AMA,8,208
AMA,9,211
AMA,10,218
AMA,11,199
AMA,12,218
AMA,13,212
AMA,14,220
AMA,15,224
AMA,16,223
AMA,17,229
AMA,18,224
AMA,19,230
AMA,20,235
AMA,21,224
AMA,22,229
AMA,23,230
AMA,24,229
AMA,25,228
AMA,26,235
AMA,27,207
AMA,28,228
AMA,29,237
AMA,30,236
AMA,31,233
AMA,32,236
AMA,33,233
AMA,34,235
AMA,35,224
AMA,36,230
AMA,37,233
AMA,38,227
AMA,39,237
AMA,40,236
AMA,41,224
AMA,42,231
AMA,43,220
AMA,44,220
AMA,45,233
AMA,46,233
AMA,47,231
AMA,48,220
AMA,49,224
AMA,50,218
AMA,51,217
AMA,52,184
ANC,1,778
ANC,2,641
ANC,3,612
ANC,4,591
ANC,5,598
ANC,6,585
ANC,7,595
ANC,8,596
ANC,9,609
ANC,10,613
ANC,11,644
ANC,12,646
ANC,13,645
ANC,14,643
ANC,15,635
ANC,16,637
ANC,17,632
ANC,18,641
ANC,19,700
ANC,20,715
ANC,21,749
ANC,22,806
ANC,23,962
ANC,24,1028
ANC,25,1030
ANC,26,1045
ANC,27,1043
ANC,28,1059
ANC,29,1056
ANC,30,1055
ANC,31,1057
ANC,32,1041
ANC,33,1026
ANC,34,979
ANC,35,877
ANC,36,823
ANC,37,779
ANC,38,735
ANC,39,716
ANC,40,660
ANC,41,628
ANC,42,618
ANC,43,603
ANC,44,607
ANC,45,591
ANC,46,617
ANC,47,609
ANC,48,589
ANC,49,598
ANC,50,593
ANC,51,644
ANC,52,641
APN,1,26
APN,2,21
APN,3,24
APN,4,17
APN,5,22
APN,6,15
APN,7,20
APN,8,22
APN,9,22
APN,10,22
APN,11,24
APN,12,24
APN,13,24
APN,14,21
APN,15,19
APN,16,22
APN,17,24
APN,18,24
APN,19,24
APN,20,23
APN,21,23
APN,22,24
APN,23,24
APN,24,24
APN,25,24
APN,26,24
APN,27,23
APN,28,24
APN,29,24
APN,30,24
APN,31,23
APN,32,23
APN,33,24
APN,34,24
APN,35,24
APN,36,24
APN,37,24
APN,38,24
APN,39,24
APN,40,24
APN,41,24
APN,42,24
APN,43,24
APN,44,24
APN,45,24
APN,46,22
APN,47,23
APN,48,21
APN,49,24
APN,50,23
APN,51,23
APN,52,24
ART,1,25
ART,2,22
ART,3,21
ART,4,21
ART,5,18
ART,6,21
ART,7,24
ART,8,23
ART,9,20
ART,10,22
ART,11,25
ART,12,23
ART,13,27
ART,14,26
ART,15,23
ART,16,24
ART,17,26
ART,18,27
ART,19,25
ART,20,25
ART,21,24
ART,22,26
ART,23,27
ART,24,27
ART,25,28
ART,26,26
ART,27,26
ART,28,26
ART,29,28
ART,30,27
ART,31,28
ART,32,28
ART,33,27
ART,34,28
ART,35,27
ART,36,26
ART,37,27
ART,38,26
ART,39,27
ART,40,24
ART,41,26
ART,42,26
ART,43,27
ART,44,24
ART,45,24
ART,46,24
ART,47,25
ART,48,26
ART,49,23
ART,50,26
ART,51,30
ART,52,33
ASE,1,539
ASE,2,370
ASE,3,339
ASE,4,381
ASE,5,388
ASE,6,342
ASE,7,364
ASE,8,392
ASE,9,403
ASE,10,408
ASE,11,404
ASE,12,439
ASE,13,455
ASE,14,275
ASE,15,106
ASE,16,104
ASE,17,111
ASE,18,108
ASE,19,109
ASE,20,109
ASE,21,101
ASE,22,109
ASE,23,194
ASE,24,244
ASE,25,263
ASE,26,269
ASE,27,200
ASE,28,223
ASE,29,263
ASE,30,270
ASE,31,268
ASE,32,270
ASE,33,270
ASE,34,222
ASE,35,212
ASE,36,182
ASE,37,176
ASE,38,173
ASE,39,173
ASE,40,153
ASE,41,112
ASE,42,122
ASE,43,118
ASE,44,94
ASE,45,100
ASE,46,102
ASE,47,96
ASE,48,123
ASE,49,162
ASE,50,179
ASE,51,391
ASE,52,442
ATL,1,14677
ATL,2,13912
ATL,3,13318
ATL,4,14134
ATL,5,13556
ATL,6,14122
ATL,7,13713
ATL,8,14317
ATL,9,14581
ATL,10,15304
ATL,11,15355
ATL,12,15293
ATL,13,15393
ATL,14,15226
ATL,15,15148
ATL,16,15126
ATL,17,15285
ATL,18,15353
ATL,19,15328
ATL,20,15500
ATL,21,14975
ATL,22,15351
ATL,23,15595
ATL,24,16016
ATL,25,16035
ATL,26,15809
ATL,27,13885
ATL,28,16289
ATL,29,16152
ATL,30,16294
ATL,31,16198
ATL,32,16205
ATL,33,15811
ATL,34,15590
ATL,35,14616
ATL,36,13915
ATL,37,15133
ATL,38,15240
ATL,39,15269
ATL,40,15277
ATL,41,15241
ATL,42,15371
ATL,43,15130
ATL,44,13517
ATL,45,14814
ATL,46,15097
ATL,47,14478
ATL,48,14161
ATL,49,14448
ATL,50,14447
ATL,51,15076
ATL,52,13881
ATW,1,249
ATW,2,226
ATW,3,216
ATW,4,221
ATW,5,183
ATW,6,194
ATW,7,217
ATW,8,222
ATW,9,241
ATW,10,247
ATW,11,240
ATW,12,249
ATW,13,248
ATW,14,257
ATW,15,241
ATW,16,253
ATW,17,256
ATW,18,250
ATW,19,261
ATW,20,265
ATW,21,249
ATW,22,256
ATW,23,265
ATW,24,265
ATW,25,256
ATW,26,253
ATW,27,225
ATW,28,265
ATW,29,259
ATW,30,267
ATW,31,265
ATW,32,265
ATW,33,261
ATW,34,252
ATW,35,234
ATW,36,220
ATW,37,262
ATW,38,261
ATW,39,257
ATW,40,266
ATW,41,267
ATW,42,267
ATW,43,261
ATW,44,229
ATW,45,264
ATW,46,263
ATW,47,251
ATW,48,245
ATW,49,269
ATW,50,268
ATW,51,277
ATW,52,227
ATY,1,4
ATY,14,7
ATY,15,7
ATY,16,13
ATY,17,13
ATY,18,13
ATY,19,13
ATY,20,13
ATY,21,10
ATY,22,13
ATY,23,13
ATY,24,13
ATY,25,13
ATY,26,13
ATY,27,13
ATY,28,13
ATY,29,13
ATY,30,13
ATY,31,13
ATY,32,13
ATY,33,13
ATY,34,13
ATY,35,14
ATY,36,13
ATY,37,14
ATY,38,14
ATY,39,14
ATY,40,14
ATY,41,12
ATY,42,13
ATY,43,14
ATY,44,12
ATY,45,14
ATY,46,13
ATY,47,14
ATY,48,10
ATY,49,14
ATY,50,14
ATY,51,14
ATY,52,7
AUS,1,2559
AUS,2,2145
AUS,3,2064
AUS,4,2148
AUS,5,2089
AUS,6,2148
AUS,7,2204
AUS,8,2319
AUS,9,2331
AUS,10,2438
AUS,11,2443
AUS,12,2404
AUS,13,2413
AUS,14,2396
AUS,15,2509
AUS,16,2511
AUS,17,2527
AUS,18,2515
AUS,19,2538
AUS,20,2557
AUS,21,2520
AUS,22,2554
AUS,23,2595
AUS,24,2676
AUS,25,2666
AUS,26,2658
AUS,27,2433
AUS,28,2677
AUS,29,2705
AUS,30,2693
AUS,31,2686
AUS,32,2629
AUS,33,2586
AUS,34,2545
AUS,35,2423
AUS,36,2448
AUS,37,2542
AUS,38,2522
AUS,39,2547
AUS,40,2572
AUS,41,2603
AUS,42,2621
AUS,43,2609
AUS,44,2442
AUS,45,2515
AUS,46,2531
AUS,47,2476
AUS,48,2386
AUS,49,2391
AUS,50,2379
AUS,51,2522
AUS,52,2378
AVL,1,341
AVL,2,251
AVL,3,232
AVL,4,242
AVL,5,238
AVL,6,246
AVL,7,256
AVL,8,272
AVL,9,283
AVL,10,300
AVL,11,313
AVL,12,313
AVL,13,315
AVL,14,324
AVL,15,319
AVL,16,319
AVL,17,326
AVL,18,340
AVL,19,344
AVL,20,355
AVL,21,359
AVL,22,359
AVL,23,378
AVL,24,400
AVL,25,392
AVL,26,401
AVL,27,379
AVL,28,401
AVL,29,401
AVL,30,403
AVL,31,397
AVL,32,400
AVL,33,400
AVL,34,383
AVL,35,369
AVL,36,373
AVL,37,371
AVL,38,383
AVL,39,378
AVL,40,399
AVL,41,413
AVL,42,418
AVL,43,406
AVL,44,379
AVL,45,385
AVL,46,378
AVL,47,379
AVL,48,365
AVL,49,343
AVL,50,356
AVL,51,382
AVL,52,377
AVP,1,210
AVP,2,174
AVP,3,157
AVP,4,176
AVP,5,161
AVP,6,168
AVP,7,167
AVP,8,178
AVP,9,177
AVP,10,188
AVP,11,198
AVP,12,196
AVP,13,203
AVP,14,222
AVP,15,225
AVP,16,228
AVP,17,227
AVP,18,226
AVP,19,220
AVP,20,218
AVP,21,214
AVP,22,213
AVP,23,229
AVP,24,233
AVP,25,225
AVP,26,230
AVP,27,202
AVP,28,245
AVP,29,237
AVP,30,235
AVP,31,228
AVP,32,233
AVP,33,219
AVP,34,223
AVP,35,211
AVP,36,214
AVP,37,228
AVP,38,233
AVP,39,228
AVP,40,226
AVP,41,225
AVP,42,226
AVP,43,226
AVP,44,208
AVP,45,224
AVP,46,211
AVP,47,215
AVP,48,212
AVP,49,208
AVP,50,211
AVP,51,214
AVP,52,201
AZA,1,277
AZA,2,196
AZA,3,197
AZA,4,196
AZA,5,195
AZA,6,204
AZA,7,241
AZA,8,255
AZA,9,272
AZA,10,284
AZA,11,296
AZA,12,297
AZA,13,293
AZA,14,270
AZA,15,235
AZA,16,224
AZA,17,200
AZA,18,176
AZA,19,173
AZA,20,176
AZA,21,202
AZA,22,207
AZA,23,211
AZA,24,210
AZA,25,214
AZA,26,219
AZA,27,216
AZA,28,215
AZA,29,210
AZA,30,211
AZA,31,199
AZA,32,185
AZA,33,159
AZA,34,148
AZA,35,144
AZA,36,144
AZA,37,138
AZA,38,140
AZA,39,141
AZA,40,184
AZA,41,205
AZA,42,211
AZA,43,196
AZA,44,192
AZA,45,195
AZA,46,202
AZA,47,219
AZA,48,212
AZA,49,196
AZA,50,194
AZA,51,226
AZA,52,261
AZO,1,150
AZO,2,130
AZO,3,131
AZO,4,123
AZO,5,113
AZO,6,122
AZO,7,117
AZO,8,129
AZO,9,136
AZO,10,153
AZO,11,153
AZO,12,154
AZO,13,153
AZO,14,160
AZO,15,156
AZO,16,158
AZO,17,161
AZO,18,157
AZO,19,166
AZO,20,163
AZO,21,161
AZO,22,153
AZO,23,165
AZO,24,83
AZO,25,80
AZO,26,113
AZO,27,132
AZO,28,157
AZO,29,149
AZO,30,156
AZO,31,154
AZO,32,152
AZO,33,149
AZO,34,149
AZO,35,139
AZO,36,143
AZO,37,167
AZO,38,169
AZO,39,163
AZO,40,165
AZO,41,168
AZO,42,170
AZO,43,165
AZO,44,144
AZO,45,163
AZO,46,162
AZO,47,153
AZO,48,142
AZO,49,155
AZO,50,154
AZO,51,163
AZO,52,132
BDL,1,1156
BDL,2,1081
BDL,3,1022
BDL,4,1085
BDL,5,1058
BDL,6,1063
BDL,7,1086
BDL,8,1143
BDL,9,1110
BDL,10,1119
BDL,11,1110
BDL,12,1152
BDL,13,1208
BDL,14,1206
BDL,15,1222
BDL,16,1206
BDL,17,1231
BDL,18,1194
BDL,19,1178
BDL,20,1169
BDL,21,1157
BDL,22,1139
BDL,23,1181
BDL,24,1133
BDL,25,1140
BDL,26,1140
BDL,27,1011
BDL,28,1178
BDL,29,1153
BDL,30,1148
BDL,31,1153
BDL,32,1150
BDL,33,1151
BDL,34,1136
BDL,35,1086
BDL,36,1046
BDL,37,1116
BDL,38,1125
BDL,39,1121
BDL,40,1104
BDL,41,1129
BDL,42,1133
BDL,43,1118
BDL,44,1046
BDL,45,1149
BDL,46,1153
BDL,47,1155
BDL,48,1133
BDL,49,1132
BDL,50,1141
BDL,51,1152
BDL,52,1050
BET,1,32
BET,2,33
BET,3,33
BET,4,31
BET,5,30
BET,6,31
BET,7,31
BET,8,32
BET,9,30
BET,10,32
BET,11,31
BET,12,29
BET,13,31
BET,14,32
BET,15,32
BET,16,31
BET,17,31
BET,18,31
BET,19,32
BET,20,32
BET,21,30
BET,22,32
BET,23,31
BET,24,32
BET,25,30
BET,26,31
BET,27,31
BET,28,31
BET,29,31
BET,30,31
BET,31,31
BET,32,31
BET,33,32
BET,34,31
BET,35,32
BET,36,32
BET,37,32
BET,38,32
BET,39,32
BET,40,30
BET,41,31
BET,42,30
BET,43,31
BET,44,31
BET,45,30
BET,46,31
BET,47,29
BET,48,26
BET,49,32
BET,50,31
BET,51,31
BET,52,27
BFF,1,14
BFF,2,12
BFF,3,11
BFF,4,11
BFF,5,20
BFF,6,23
BFF,7,24
BFF,8,22
BFF,9,23
BFF,10,22
BFF,11,18
BFF,12,24
BFF,13,24
BFF,14,24
BFF,15,22
BFF,16,24
BFF,17,24
BFF,18,24
BFF,19,24
BFF,20,24
BFF,21,23
BFF,22,23
BFF,23,23
BFF,24,23
BFF,25,23
BFF,26,24
BFF,27,23
BFF,28,24
BFF,29,23
BFF,30,24
BFF,31,24
BFF,32,24
BFF,33,23
BFF,34,24
BFF,35,24
BFF,36,24
BFF,37,24
BFF,38,24
BFF,39,24
BFF,40,24
BFF,41,23
BFF,42,24
BFF,43,25
BFF,44,23
BFF,45,24
BFF,46,24
BFF,47,25
BFF,48,20
BFF,49,24
BFF,50,24
BFF,51,24
BFF,52,20
BFL,1,92
BFL,2,78
BFL,3,78
BFL,4,80
BFL,5,78
BFL,6,80
BFL,7,75
BFL,8,78
BFL,9,79
BFL,10,90
BFL,11,86
BFL,12,90
BFL,13,90
BFL,14,91
BFL,15,95
BFL,16,98
BFL,17,98
BFL,18,95
BFL,19,96
BFL,20,95
BFL,21,91
BFL,22,92
BFL,23,94
BFL,24,95
BFL,25,91
BFL,26,96
BFL,27,85
BFL,28,97
BFL,29,97
BFL,30,94
BFL,31,94
BFL,32,93
BFL,33,95
BFL,34,91
BFL,35,88
BFL,36,93
BFL,37,93
BFL,38,94
BFL,39,90
BFL,40,94
BFL,41,96
BFL,42,95
BFL,43,94
BFL,44,94
BFL,45,93
BFL,46,93
BFL,47,96
BFL,48,81
BFL,49,93
BFL,50,92
BFL,51,97
BFL,52,88
BFM,1,1
BFM,18,4
BFM,19,5
BFM,20,5
BFM,21,3
BFM,22,5
BFM,23,5
BFM,24,5
BFM,25,4
BFM,26,4
BFM,27,5
BFM,28,4
BFM,29,5
BFM,30,5
BFM,31,4
BFM,32,5
BFM,33,5
BFM,34,5
BFM,35,4
BFM,36,5
BFM,37,4
BFM,38,5
BFM,39,4
BFM,40,5
BFM,41,5
BFM,42,4
BFM,43,5
BFM,44,5
BFM,45,5
BFM,46,4
BFM,47,3
BFM,48,2
BFM,49,3
BFM,50,3
BFM,51,3
BFM,52,2
BGM,1,34
BGM,2,26
