dest,week,arriving_flights_per_week
ABY,45,39
ABY,46,39
ABY,47,39
ABY,48,38
ABY,49,40
ABY,50,40
ABY,51,38
ABY,52,28
ACK,18,4
ACK,19,4
ACK,20,20
ACK,21,34
ACK,22,42
ACK,23,44
ACK,24,82
ACK,25,137
ACK,26,168
ACK,27,192
ACK,28,180
ACK,29,175
ACK,30,169
ACK,31,184
ACK,32,179
ACK,33,182
ACK,34,187
ACK,35,178
ACK,36,111
ACK,37,58
ACK,38,49
ACK,39,39
ACK,40,36
ACK,41,19
ACK,42,13
ACK,43,2
ACT,1,56
ACT,2,50
ACT,3,49
ACT,4,51
ACT,5,51
ACT,6,51
ACT,7,52
ACT,8,52
ACT,9,51
ACT,10,53
ACT,11,51
ACT,12,54
ACT,13,51
ACT,14,63
ACT,15,65
ACT,16,69
ACT,17,68
ACT,18,64
ACT,19,72
ACT,20,70
ACT,21,70
ACT,22,69
ACT,23,71
ACT,24,71
ACT,25,72
ACT,26,74
ACT,27,62
ACT,28,68
ACT,29,71
ACT,30,76
ACT,31,75
ACT,32,75
ACT,33,73
ACT,34,64
ACT,35,63
ACT,36,61
ACT,37,66
ACT,38,63
ACT,39,64
ACT,40,65
ACT,41,61
ACT,42,65
ACT,43,64
ACT,44,64
ACT,45,66
ACT,46,64
ACT,47,69
ACT,48,69
ACT,49,68
ACT,50,65
ACT,51,56
ACT,52,47
ACV,1,70
ACV,2,46
ACV,3,46
ACV,4,42
ACV,5,44
ACV,6,48
ACV,7,45
ACV,8,48
ACV,9,45
ACV,10,48
ACV,11,46
ACV,12,44
ACV,13,49
ACV,14,46
ACV,15,48
ACV,16,49
ACV,17,48
ACV,18,49
ACV,19,46
ACV,20,46
ACV,21,48
ACV,22,54
ACV,23,68
ACV,24,78
ACV,25,75
ACV,26,72
ACV,27,69
ACV,28,76
ACV,29,69
ACV,30,56
ACV,31,79
ACV,32,83
ACV,33,84
ACV,34,83
ACV,35,83
ACV,36,69
ACV,37,64
ACV,38,67
ACV,39,66
ACV,40,74
ACV,41,77
ACV,42,78
ACV,43,78
ACV,44,82
ACV,45,75
ACV,46,65
ACV,47,78
ACV,48,70
ACV,49,76
ACV,50,80
ACV,51,80
ACV,52,80
ACY,1,144
ACY,2,139
ACY,3,136
ACY,4,136
ACY,5,136
ACY,6,135
ACY,7,136
ACY,8,140
ACY,9,127
ACY,10,140
ACY,11,138
ACY,12,137
ACY,13,140
ACY,14,139
ACY,15,129
ACY,16,123
ACY,17,129
ACY,18,120
ACY,19,115
ACY,20,114
ACY,21,115
ACY,22,115
ACY,23,114
ACY,24,113
ACY,25,111
ACY,26,110
ACY,27,109
ACY,28,109
ACY,29,107
ACY,30,107
ACY,31,110
ACY,32,110
ACY,33,104
ACY,34,107
ACY,35,106
ACY,36,105
ACY,37,101
ACY,38,107
ACY,39,107
ACY,40,107
ACY,41,105
ACY,42,106
ACY,43,107
ACY,44,105
ACY,45,113
ACY,46,128
ACY,47,140
ACY,48,136
ACY,49,131
ACY,50,130
ACY,51,131
ACY,52,138
ADK,1,3
ADK,2,4
ADK,3,4
ADK,4,4
ADK,5,4
ADK,6,4
ADK,7,3
ADK,8,4
ADK,9,2
ADK,10,3
ADK,11,4
ADK,12,4
ADK,13,4
ADK,14,4
ADK,15,4
ADK,16,4
ADK,17,4
ADK,18,4
ADK,19,4
ADK,20,4
ADK,21,4
ADK,22,4
ADK,23,4
ADK,24,4
ADK,25,3
ADK,26,4
ADK,27,4
ADK,28,4
ADK,29,4
ADK,30,4
ADK,31,4
ADK,32,4
ADK,33,4
ADK,34,4
ADK,35,3
ADK,36,4
ADK,37,4
ADK,38,4
ADK,39,4
ADK,40,3
ADK,41,4
ADK,42,4
ADK,43,4
ADK,44,4
ADK,45,4
ADK,46,4
ADK,47,4
ADK,48,4
ADK,49,4
ADK,50,4
ADK,51,3
ADK,52,4
ADQ,1,26
ADQ,2,24
ADQ,3,23
ADQ,4,22
ADQ,5,22
ADQ,6,24
ADQ,7,22
ADQ,8,24
ADQ,9,23
ADQ,10,23
ADQ,11,23
ADQ,12,24
ADQ,13,24
ADQ,14,24
ADQ,15,24
ADQ,16,23
ADQ,17,23
ADQ,18,25
ADQ,19,24
ADQ,20,25
ADQ,21,26
ADQ,22,26
ADQ,23,26
ADQ,24,26
ADQ,25,25
ADQ,26,24
ADQ,27,24
ADQ,28,25
ADQ,29,26
ADQ,30,25
ADQ,31,25
ADQ,32,26
ADQ,33,25
ADQ,34,26
ADQ,35,24
ADQ,36,24
ADQ,37,23
ADQ,38,24
ADQ,39,23
ADQ,40,22
ADQ,41,21
ADQ,42,24
ADQ,43,21
ADQ,44,23
ADQ,45,21
ADQ,46,23
ADQ,47,22
ADQ,48,22
ADQ,49,21
ADQ,50,22
ADQ,51,22
ADQ,52,18
AEX,1,123
AEX,2,115
AEX,3,109
AEX,4,120
AEX,5,117
AEX,6,119
AEX,7,119
AEX,8,123
AEX,9,128
AEX,10,133
AEX,11,130
AEX,12,131
AEX,13,125
AEX,14,126
AEX,15,133
AEX,16,129
AEX,17,133
AEX,18,131
AEX,19,125
AEX,20,130
AEX,21,128
AEX,22,133
AEX,23,126
AEX,24,122
AEX,25,127
AEX,26,126
AEX,27,104
AEX,28,125
AEX,29,128
AEX,30,129
AEX,31,127
AEX,32,128
AEX,33,129
AEX,34,129
AEX,35,117
AEX,36,122
AEX,37,134
AEX,38,129
AEX,39,134
AEX,40,136
AEX,41,131
AEX,42,135
AEX,43,131
AEX,44,117
AEX,45,132
AEX,46,134
AEX,47,123
AEX,48,125
AEX,49,133
AEX,50,132
AEX,51,126
AEX,52,106
AGS,1,202
AGS,2,177
AGS,3,167
AGS,4,178
AGS,5,173
AGS,6,172
AGS,7,179
AGS,8,189
AGS,9,196
AGS,10,207
AGS,11,208
AGS,12,209
AGS,13,209
AGS,14,257
AGS,15,272
AGS,16,209
AGS,17,199
AGS,18,201
AGS,19,201
AGS,20,209
AGS,21,206
AGS,22,207
AGS,23,199
AGS,24,190
AGS,25,191
AGS,26,194
AGS,27,169
AGS,28,202
AGS,29,198
AGS,30,196
AGS,31,198
AGS,32,201
AGS,33,203
AGS,34,200
AGS,35,191
AGS,36,182
AGS,37,187
AGS,38,197
AGS,39,196
AGS,40,196
AGS,41,190
AGS,42,197
AGS,43,191
AGS,44,170
AGS,45,191
AGS,46,195
AGS,47,191
AGS,48,184
AGS,49,181
AGS,50,180
AGS,51,191
AGS,52,177
AKN,22,1
AKN,23,11
AKN,24,14
AKN,25,14
AKN,26,14
AKN,27,14
AKN,28,14
AKN,29,14
AKN,30,14
AKN,31,13
AKN,32,1
ALB,1,660
ALB,2,589
ALB,3,546
ALB,4,588
ALB,5,571
ALB,6,585
ALB,7,593
ALB,8,629
ALB,9,607
ALB,10,655
ALB,11,689
ALB,12,680
ALB,13,712
ALB,14,705
ALB,15,676
ALB,16,677
ALB,17,687
ALB,18,681
ALB,19,690
ALB,20,676
ALB,21,665
ALB,22,664
ALB,23,680
ALB,24,680
ALB,25,662
ALB,26,677
ALB,27,605
ALB,28,670
ALB,29,656
ALB,30,652
ALB,31,657
ALB,32,647
ALB,33,650
ALB,34,654
ALB,35,634
ALB,36,612
ALB,37,632
ALB,38,633
ALB,39,623
ALB,40,660
ALB,41,673
ALB,42,670
ALB,43,667
ALB,44,649
ALB,45,678
ALB,46,657
ALB,47,657
ALB,48,612
ALB,49,621
ALB,50,649
ALB,51,644
ALB,52,621
ALO,1,29
ALO,2,24
ALO,3,23
ALO,4,24
ALO,5,17
ALO,6,17
ALO,7,24
ALO,8,23
ALO,9,27
ALO,10,26
ALO,11,26
ALO,12,27
ALO,13,27
ALO,14,27
ALO,15,25
ALO,16,27
ALO,17,26
ALO,18,26
ALO,19,27
ALO,20,26
ALO,21,27
ALO,22,27
ALO,23,25
ALO,24,26
ALO,25,24
ALO,26,24
ALO,27,23
ALO,28,27
ALO,29,26
ALO,30,27
ALO,31,27
ALO,32,26
ALO,33,25
ALO,34,25
ALO,35,26
ALO,36,25
ALO,37,26
ALO,38,26
ALO,39,24
ALO,40,26
ALO,41,26
ALO,42,26
ALO,43,26
ALO,44,26
ALO,45,26
ALO,46,24
ALO,47,25
ALO,48,25
ALO,49,26
ALO,50,26
ALO,51,28
ALO,52,27
ALW,1,45
ALW,2,27
ALW,3,33
ALW,4,30
ALW,5,31
ALW,6,29
ALW,7,28
ALW,8,33
ALW,9,31
ALW,10,30
ALW,11,35
ALW,12,36
ALW,13,36
ALW,14,36
ALW,15,35
ALW,16,35
ALW,17,36
ALW,18,36
ALW,19,35
ALW,20,36
ALW,21,36
ALW,22,36
ALW,23,36
ALW,24,36
ALW,25,34
ALW,26,36
ALW,27,35
ALW,28,35
ALW,29,35
ALW,30,36
ALW,31,33
ALW,32,35
ALW,33,34
ALW,34,35
ALW,35,30
ALW,36,32
ALW,37,28
ALW,38,31
ALW,39,31
ALW,40,31
ALW,41,32
ALW,42,31
ALW,43,32
ALW,44,32
ALW,45,35
ALW,46,30
ALW,47,26
ALW,48,34
ALW,49,30
ALW,50,35
ALW,51,36
ALW,52,36
AMA,1,238
AMA,2,202
AMA,3,201
AMA,4,209
AMA,5,206
AMA,6,208
AMA,7,207
AMA,8,210
AMA,9,212
AMA,10,217
AMA,11,199
AMA,12,218
AMA,13,213
AMA,14,216
AMA,15,224
AMA,16,225
AMA,17,229
AMA,18,222
AMA,19,227
AMA,20,236
AMA,21,223
AMA,22,229
AMA,23,230
AMA,24,230
AMA,25,231
AMA,26,236
AMA,27,206
AMA,28,231
AMA,29,237
AMA,30,236
AMA,31,235
AMA,32,237
AMA,33,235
AMA,34,234
AMA,35,222
AMA,36,231
AMA,37,236
AMA,38,230
AMA,39,236
AMA,40,234
AMA,41,224
AMA,42,230
AMA,43,223
AMA,44,221
AMA,45,232
AMA,46,235
AMA,47,228
AMA,48,220
AMA,49,226
AMA,50,218
AMA,51,218
AMA,52,180
ANC,1,774
ANC,2,645
ANC,3,616
ANC,4,593
ANC,5,595
ANC,6,588
ANC,7,592
ANC,8,598
ANC,9,609
ANC,10,612
ANC,11,648
ANC,12,645
ANC,13,636
ANC,14,644
ANC,15,634
ANC,16,637
ANC,17,633
ANC,18,649
ANC,19,702
ANC,20,716
ANC,21,753
ANC,22,807
ANC,23,966
ANC,24,1025
ANC,25,1027
ANC,26,1042
ANC,27,1044
ANC,28,1060
ANC,29,1060
ANC,30,1054
ANC,31,1055
ANC,32,1042
ANC,33,1028
ANC,34,975
ANC,35,878
ANC,36,823
ANC,37,773
ANC,38,736
ANC,39,710
ANC,40,655
ANC,41,629
ANC,42,616
ANC,43,607
ANC,44,603
ANC,45,589
ANC,46,615
ANC,47,606
ANC,48,585
ANC,49,600
ANC,50,592
ANC,51,642
ANC,52,640
APN,1,26
APN,2,21
APN,3,24
APN,4,18
APN,5,19
APN,6,14
APN,7,21
APN,8,21
APN,9,21
APN,10,21
APN,11,24
APN,12,24
APN,13,24
APN,14,23
APN,15,18
APN,16,23
APN,17,24
APN,18,24
APN,19,24
APN,20,22
APN,21,23
APN,22,24
APN,23,24
APN,24,24
APN,25,24
APN,26,24
APN,27,23
APN,28,23
APN,29,24
APN,30,24
APN,31,24
APN,32,24
APN,33,24
APN,34,24
APN,35,24
APN,36,24
APN,37,24
APN,38,24
APN,39,24
APN,40,24
APN,41,24
APN,42,23
APN,43,24
APN,44,24
APN,45,22
APN,46,22
APN,47,23
APN,48,22
APN,49,24
APN,50,24
APN,51,22
APN,52,22
ART,1,25
ART,2,22
ART,3,21
ART,4,19
ART,5,15
ART,6,23
ART,7,23
ART,8,21
ART,9,21
ART,10,21
ART,11,26
ART,12,24
ART,13,26
ART,14,26
ART,15,22
ART,16,24
ART,17,24
ART,18,27
ART,19,25
ART,20,26
ART,21,25
ART,22,25
ART,23,27
ART,24,27
ART,25,26
ART,26,27
ART,27,25
ART,28,27
ART,29,28
ART,30,24
ART,31,27
ART,32,27
ART,33,28
ART,34,28
ART,35,27
ART,36,26
ART,37,27
ART,38,26
ART,39,26
ART,40,24
ART,41,26
ART,42,27
ART,43,27
ART,44,24
ART,45,24
ART,46,24
ART,47,25
ART,48,25
ART,49,23
ART,50,26
ART,51,32
ART,52,33
ASE,1,534
ASE,2,366
ASE,3,331
ASE,4,384
ASE,5,387
ASE,6,330
ASE,7,357
ASE,8,389
ASE,9,392
ASE,10,406
ASE,11,399
ASE,12,435
ASE,13,449
ASE,14,268
ASE,15,103
ASE,16,103
ASE,17,111
ASE,18,108
ASE,19,106
ASE,20,108
ASE,21,99
ASE,22,107
ASE,23,199
ASE,24,247
ASE,25,262
ASE,26,265
ASE,27,195
ASE,28,217
ASE,29,258
ASE,30,269
ASE,31,267
ASE,32,264
ASE,33,267
ASE,34,217
ASE,35,208
ASE,36,177
ASE,37,177
ASE,38,173
ASE,39,171
ASE,40,149
ASE,41,109
ASE,42,117
ASE,43,115
ASE,44,94
ASE,45,100
ASE,46,103
ASE,47,94
ASE,48,120
ASE,49,156
ASE,50,178
ASE,51,400
ASE,52,429
ATL,1,14702
ATL,2,13938
ATL,3,13334
ATL,4,14123
ATL,5,13570
ATL,6,14091
ATL,7,13700
ATL,8,14301
ATL,9,14589
ATL,10,15314
ATL,11,15371
ATL,12,15292
ATL,13,15377
ATL,14,15253
ATL,15,15147
ATL,16,15141
ATL,17,15296
ATL,18,15396
ATL,19,15322
ATL,20,15500
ATL,21,14993
ATL,22,15368
ATL,23,15563
ATL,24,15972
ATL,25,15998
ATL,26,15738
ATL,27,13878
ATL,28,16292
ATL,29,16065
ATL,30,16332
ATL,31,16171
ATL,32,16221
ATL,33,15825
ATL,34,15621
ATL,35,14656
ATL,36,13879
ATL,37,15079
ATL,38,15220
ATL,39,15260
ATL,40,15316
ATL,41,15257
ATL,42,15374
ATL,43,15156
ATL,44,13525
ATL,45,14832
ATL,46,15117
ATL,47,14494
ATL,48,14216
ATL,49,14454
ATL,50,14474
ATL,51,15123
ATL,52,13918
ATW,1,247
ATW,2,223
ATW,3,217
ATW,4,219
ATW,5,177
ATW,6,203
ATW,7,219
ATW,8,220
ATW,9,243
ATW,10,247
ATW,11,241
ATW,12,249
ATW,13,248
ATW,14,253
ATW,15,242
ATW,16,253
ATW,17,255
ATW,18,249
ATW,19,260
ATW,20,262
ATW,21,248
ATW,22,254
ATW,23,267
ATW,24,262
ATW,25,254
ATW,26,248
ATW,27,228
ATW,28,264
ATW,29,258
ATW,30,266
ATW,31,263
ATW,32,263
ATW,33,259
ATW,34,249
ATW,35,231
ATW,36,222
ATW,37,259
ATW,38,261
ATW,39,256
ATW,40,267
ATW,41,266
ATW,42,267
ATW,43,261
ATW,44,229
ATW,45,264
ATW,46,258
ATW,47,250
ATW,48,246
ATW,49,269
ATW,50,262
ATW,51,276
ATW,52,224
ATY,1,4
ATY,14,8
ATY,15,8
ATY,16,13
ATY,17,13
ATY,18,13
ATY,19,13
ATY,20,13
ATY,21,10
ATY,22,13
ATY,23,13
ATY,24,12
ATY,25,10
ATY,26,13
ATY,27,12
ATY,28,13
ATY,29,13
ATY,30,13
ATY,31,12
ATY,32,13
ATY,33,13
ATY,34,13
ATY,35,13
ATY,36,14
ATY,37,14
ATY,38,14
ATY,39,14
ATY,40,14
ATY,41,11
ATY,42,13
ATY,43,14
ATY,44,12
ATY,45,14
ATY,46,13
ATY,47,14
ATY,48,10
ATY,49,14
ATY,50,14
ATY,51,14
ATY,52,7
AUS,1,2568
AUS,2,2152
AUS,3,2066
AUS,4,2158
AUS,5,2088
AUS,6,2152
AUS,7,2216
AUS,8,2309
AUS,9,2338
AUS,10,2441
AUS,11,2441
AUS,12,2401
AUS,13,2404
AUS,14,2406
AUS,15,2506
AUS,16,2505
AUS,17,2519
AUS,18,2500
AUS,19,2534
AUS,20,2551
AUS,21,2518
AUS,22,2571
AUS,23,2599
AUS,24,2667
AUS,25,2684
AUS,26,2660
AUS,27,2446
AUS,28,2684
AUS,29,2716
AUS,30,2707
AUS,31,2705
AUS,32,2636
AUS,33,2602
AUS,34,2555
AUS,35,2434
AUS,36,2463
AUS,37,2548
AUS,38,2528
AUS,39,2551
AUS,40,2580
AUS,41,2598
AUS,42,2624
AUS,43,2600
AUS,44,2444
AUS,45,2497
AUS,46,2534
AUS,47,2479
AUS,48,2390
AUS,49,2388
AUS,50,2380
AUS,51,2522
AUS,52,2365
AVL,1,339
AVL,2,250
AVL,3,234
AVL,4,241
AVL,5,239
AVL,6,250
AVL,7,252
AVL,8,267
AVL,9,280
AVL,10,299
AVL,11,313
AVL,12,314
AVL,13,315
AVL,14,324
AVL,15,319
AVL,16,319
AVL,17,325
AVL,18,340
AVL,19,340
AVL,20,357
AVL,21,359
AVL,22,356
AVL,23,383
AVL,24,399
AVL,25,389
AVL,26,400
AVL,27,384
AVL,28,403
AVL,29,402
AVL,30,400
AVL,31,396
AVL,32,402
AVL,33,401
AVL,34,384
AVL,35,367
AVL,36,371
AVL,37,372
AVL,38,381
AVL,39,376
AVL,40,391
AVL,41,411
AVL,42,417
AVL,43,398
AVL,44,372
AVL,45,384
AVL,46,378
AVL,47,374
AVL,48,364
AVL,49,338
AVL,50,356
AVL,51,384
AVL,52,372
AVP,1,211
AVP,2,174
AVP,3,157
AVP,4,177
AVP,5,159
AVP,6,164
AVP,7,167
AVP,8,178
AVP,9,175
AVP,10,192
AVP,11,198
AVP,12,196
AVP,13,204
AVP,14,220
AVP,15,224
AVP,16,229
AVP,17,228
AVP,18,228
AVP,19,216
AVP,20,217
AVP,21,216
AVP,22,213
AVP,23,233
AVP,24,233
AVP,25,227
AVP,26,230
AVP,27,205
AVP,28,244
AVP,29,230
AVP,30,237
AVP,31,232
AVP,32,233
AVP,33,223
AVP,34,222
AVP,35,212
AVP,36,214
AVP,37,230
AVP,38,232
AVP,39,227
AVP,40,228
AVP,41,226
AVP,42,226
AVP,43,226
AVP,44,210
AVP,45,225
AVP,46,212
AVP,47,214
AVP,48,204
AVP,49,212
AVP,50,211
AVP,51,216
AVP,52,202
AZA,1,279
AZA,2,197
AZA,3,198
AZA,4,196
AZA,5,196
AZA,6,204
AZA,7,241
AZA,8,256
AZA,9,272
AZA,10,286
AZA,11,296
AZA,12,297
AZA,13,294
AZA,14,270
AZA,15,236
AZA,16,224
AZA,17,200
AZA,18,177
AZA,19,173
AZA,20,177
AZA,21,202
AZA,22,206
AZA,23,211
AZA,24,210
AZA,25,214
AZA,26,220
AZA,27,216
AZA,28,216
AZA,29,210
AZA,30,212
AZA,31,199
AZA,32,185
AZA,33,158
AZA,34,150
AZA,35,144
AZA,36,144
AZA,37,138
AZA,38,140
AZA,39,141
AZA,40,184
AZA,41,205
AZA,42,211
AZA,43,197
AZA,44,192
AZA,45,196
AZA,46,204
AZA,47,219
AZA,48,214
AZA,49,196
AZA,50,196
AZA,51,227
AZA,52,261
AZO,1,150
AZO,2,129
AZO,3,125
AZO,4,124
AZO,5,114
AZO,6,122
AZO,7,115
AZO,8,127
AZO,9,140
AZO,10,154
AZO,11,155
AZO,12,153
AZO,13,152
AZO,14,161
AZO,15,155
AZO,16,160
AZO,17,160
AZO,18,156
AZO,19,165
AZO,20,162
AZO,21,160
AZO,22,157
AZO,23,160
AZO,24,84
AZO,25,79
AZO,26,118
AZO,27,133
AZO,28,157
AZO,29,149
AZO,30,157
AZO,31,154
AZO,32,151
AZO,33,148
AZO,34,148
AZO,35,137
AZO,36,145
AZO,37,166
AZO,38,169
AZO,39,162
AZO,40,165
AZO,41,168
AZO,42,170
AZO,43,164
AZO,44,142
AZO,45,163
AZO,46,160
AZO,47,152
AZO,48,138
AZO,49,158
AZO,50,154
AZO,51,161
AZO,52,132
BDL,1,1160
BDL,2,1085
BDL,3,1017
BDL,4,1093
BDL,5,1060
BDL,6,1064
BDL,7,1088
BDL,8,1159
BDL,9,1099
BDL,10,1135
BDL,11,1113
BDL,12,1155
BDL,13,1211
BDL,14,1214
BDL,15,1224
BDL,16,1214
BDL,17,1230
BDL,18,1197
BDL,19,1182
BDL,20,1168
BDL,21,1156
BDL,22,1151
BDL,23,1187
BDL,24,1138
BDL,25,1143
BDL,26,1148
BDL,27,1021
BDL,28,1180
BDL,29,1164
BDL,30,1149
BDL,31,1155
BDL,32,1154
BDL,33,1149
BDL,34,1141
BDL,35,1089
BDL,36,1055
BDL,37,1120
BDL,38,1130
BDL,39,1126
BDL,40,1104
BDL,41,1129
BDL,42,1132
BDL,43,1117
BDL,44,1051
BDL,45,1148
BDL,46,1155
BDL,47,1152
BDL,48,1134
BDL,49,1142
BDL,50,1144
BDL,51,1147
BDL,52,1057
BET,1,32
BET,2,32
BET,3,33
BET,4,31
BET,5,30
BET,6,31
BET,7,31
BET,8,31
BET,9,30
BET,10,32
BET,11,31
BET,12,29
BET,13,31
BET,14,32
BET,15,32
BET,16,31
BET,17,31
BET,18,31
BET,19,32
BET,20,32
BET,21,30
BET,22,32
BET,23,31
BET,24,31
BET,25,29
BET,26,31
BET,27,31
BET,28,31
BET,29,31
BET,30,32
BET,31,31
BET,32,31
BET,33,32
BET,34,31
BET,35,32
BET,36,31
BET,37,32
BET,38,32
BET,39,32
BET,40,30
BET,41,31
BET,42,31
BET,43,32
BET,44,31
BET,45,30
BET,46,31
BET,47,29
BET,48,25
BET,49,32
BET,50,31
BET,51,30
BET,52,27
BFF,1,14
BFF,2,12
BFF,3,11
BFF,4,11
BFF,5,21
BFF,6,23
BFF,7,24
BFF,8,22
BFF,9,23
BFF,10,22
BFF,11,19
BFF,12,24
BFF,13,24
BFF,14,24
BFF,15,22
BFF,16,24
BFF,17,24
BFF,18,24
BFF,19,24
BFF,20,24
BFF,21,22
BFF,22,24
BFF,23,23
BFF,24,22
BFF,25,23
BFF,26,24
BFF,27,23
BFF,28,24
BFF,29,23
BFF,30,24
BFF,31,24
BFF,32,24
BFF,33,24
BFF,34,24
BFF,35,24
BFF,36,24
BFF,37,24
BFF,38,24
BFF,39,24
BFF,40,23
BFF,41,23
BFF,42,24
BFF,43,25
BFF,44,22
BFF,45,24
BFF,46,24
BFF,47,25
BFF,48,20
BFF,49,24
BFF,50,24
BFF,51,24
BFF,52,20
BFL,1,92
BFL,2,78
BFL,3,78
BFL,4,80
BFL,5,78
BFL,6,80
BFL,7,75
BFL,8,78
BFL,9,81
BFL,10,90
BFL,11,87
BFL,12,90
BFL,13,90
BFL,14,91
BFL,15,96
BFL,16,98
BFL,17,98
BFL,18,95
BFL,19,97
BFL,20,95
BFL,21,91
BFL,22,94
BFL,23,92
BFL,24,97
BFL,25,90
BFL,26,95
BFL,27,86
BFL,28,97
BFL,29,97
BFL,30,93
BFL,31,96
BFL,32,95
BFL,33,95
BFL,34,93
BFL,35,88
BFL,36,92
BFL,37,93
BFL,38,93
BFL,39,91
BFL,40,95
BFL,41,96
BFL,42,96
BFL,43,95
BFL,44,95
BFL,45,93
BFL,46,93
BFL,47,95
BFL,48,83
BFL,49,93
BFL,50,90
BFL,51,97
BFL,52,91
BFM,1,1
BFM,18,4
BFM,19,5
BFM,20,5
BFM,21,4
BFM,22,5
BFM,23,5
BFM,24,5
BFM,25,5
BFM,26,4
BFM,27,5
BFM,28,5
BFM,29,5
BFM,30,5
BFM,31,5
BFM,32,5
BFM,33,5
BFM,34,5
BFM,35,4
BFM,36,5
BFM,37,4
BFM,38,5
BFM,39,4
BFM,40,5
BFM,41,5
BFM,42,4
BFM,43,5
BFM,44,5
BFM,45,5
BFM,46,4
BFM,47,3
BFM,48,2
BFM,49,3
BFM,50,3
BFM,51,3
BFM,52,2
BGM,1,34
BGM,2,25
